slug,title,category,protocol_type,last_updated,author,synonyms,clinical_indications,position,npo,premedication,contrast_agent,contrast_volume,contrast_flow_rate,contrast_duration,contrast_timing,contrast_roi,contrast_trigger,kv,mas,rotation_time,pitch,tech_notes,nursing_notes,rad_notes,tips,additional_recons,safety_renal,safety_allergy
ct-abdomen-pelvis-with-contrast,CT Abdomen Pelvis with Contrast,abdomen,contrast-enhanced,2026-01-02,,,Abdominal pain | Oncology staging | Infection source | Post-operative complications,Supine with arms raised,NPO 4 hours for solids,Oral contrast: 900 mL Readi-Cat 2 over 90 minutes. Last cup 30 min before scan,Isovue 370,1.5 mL/kg,3 mL/s,40s,Empiric Delay (70s),,,120,Auto (reference 200),0.5s,1.0-1.375,Ensure adequate oral contrast opacification. Scan from diaphragm through pubic symphysis. 70 second delay typical,20-22G IV required. Verify patent IV. Oral contrast 250-500mL water before scan.,Systematic review of all solid organs. Check for free fluid/air. Assess bowel enhancement pattern,Arms raised completely. Remove all metal objects from scan range,Thin slice 1mm for 3D if mass identified,Verify eGFR > 30,Check allergy history. Pre-medicate if prior reaction
ct-adrenal-mass-protocol,CT Adrenal Mass Protocol,abdomen,contrast-enhanced,2024-01-15,Dr. Thompson,,Adrenal mass characterization | Adenoma vs metastasis | Incidentaloma workup,Supine with arms raised,NPO 4 hours,,Isovue 370,1.5 mL/kg,3 mL/s,40s,Empiric Delay (70s),,,120,Auto (reference 200),0.5s,1,THREE phases: 1) Non-contrast for absolute HU 2) Portal venous 70s 3) 15 MINUTE delayed for washout. All phases cover adrenals,20-22G IV. Patient must wait 15 min for delayed phase,NC: lipid-rich adenoma < 10 HU. Portal venous: enhancement. 15 min delay: calculate washout (adenoma shows washout),Patient wait time 15 min. Measure HU carefully with ROI in same location,Calculate absolute washout: (Enhanced HU - Delayed HU)/(Enhanced HU - NC HU) x 100. >60% suggests adenoma. Measure HU in all phases,Verify eGFR > 30,Check allergy history. Explain 15 min delay
ct-biphasic-pancreas,CT Biphasic Pancreas,abdomen,contrast-enhanced,2024-01-15,Dr. Williams,,Pancreatic mass | Pancreatitis | Pancreatic cyst characterization,Supine with arms raised,NPO 4 hours,Water PO: 900 mL water orally 15-30 min before scan for gastric/duodenal distension,Isovue 370,1.5 mL/kg,4-5 mL/s,25s,Dual phase: Pancreatic arterial + Portal venous,Abdominal aorta,150 HU,100,Auto (reference 200-250),0.5s,0.9-1.0,TWO phases: Pancreatic phase (40-45s or bolus track) + Portal venous (70s). Water for negative contrast,18-20G IV. Ensure water intake for duodenal distension,Pancreatic phase: optimal pancreatic enhancement and small lesions. Portal venous: liver and venous structures,Water distension of duodenum helpful. Thin slices for pancreas,Curved MPR pancreatic duct. MIP pancreatic vasculature,Verify eGFR > 30,Check allergy history. Coordinate water intake
ct-chest-abdomen-pelvis-with-contrast,CT Chest Abdomen Pelvis with Contrast,abdomen,contrast-enhanced,2024-01-15,Dr. Smith,,Oncology staging | Infection source | Abdominal pain,Supine with arms raised,NPO 4 hours solids. Clear liquids OK up to 2 hours,Oral contrast: 250-500 mL neutral (Volumen or water). Give 60-90 min before scan,Isovue 370,1.5 mL/kg,3 mL/s,40s,Empiric Delay (70s),,,120,Auto (reference 200),0.5s,1.0-1.375,Single phase portal venous. 40 second injection. 70 second scan delay from start of injection,20-22G IV. Verify renal function,Portal venous phase optimal for solid organ and bowel assessment. Systematic review all organs,Arms fully raised. Neutral oral contrast preferred over positive,Sagittal reformats optional,Verify eGFR > 30,Check allergy history
ct-cystogram,CT Cystogram,abdomen,contrast-enhanced,2024-01-15,Dr. Kim,,Bladder rupture | Bladder injury | Post-operative bladder assessment,Supine,NPO 2-4 hours,Bladder contrast: 350-400 mL dilute contrast (30 mL contrast in 350 mL saline),Isovue 370,100 mL,3-4 mL/s,,,,,120,Auto (reference 200),0.5s,1,TWO components: 1) Non-contrast CT 2) Bladder filling via Foley with dilute contrast 3) Scan distended bladder. Coordinate with nursing,Foley catheter required. Dilute contrast preparation (30mL in 350mL saline). Gravity fill bladder. Patient signals fullness,Cystogram: bladder integrity extravasation,Adequate bladder distension critical. Gravity fill slowly. Clamp Foley during scan,Compare distended vs non-contrast. Document extravasation location. 3D reformation if complex injury,"eGFR doesn't matter, contrast not excreted",Foley placement. Prepare dilute contrast
ct-enterography,CT Enterography,abdomen,contrast-enhanced,2024-01-15,Dr. Martinez,,Crohn disease | Small bowel obstruction | Obscure GI bleeding | Small bowel mass,Supine with arms raised,NPO 4 hours solids,Neutral oral contrast (VoLumen): 1st bottle (450mL) at 90 min. 2nd bottle (450mL) at 60 min. Half bottle (225mL) at 30 min. Other half (225mL) at 5 min before scan,Isovue 370,1.5 mL/kg,4-5 mL/s,25s,Empiric Delay (45s),,,100,Auto (reference 200),0.5s,1.0-1.375,Enterographic phase (45 sec). High volume neutral oral for bowel distension. 25 second injection. Scan 45 sec from start,18-20G IV. Ensure adequate oral contrast intake (total ~1350mL). May need anti-peristaltic agent,Assess bowel wall enhancement and thickness. Look for strictures fistulas abscesses. Mesenteric vascularity,Adequate oral contrast distension critical. High injection rate,Curved MPR of bowel segments. Mesenteric vascular assessment,Verify eGFR > 30,Check allergy history. Coordinate oral contrast timing
ct-ivp-intravenous-pyelogram,CT IVP (Intravenous Pyelogram),abdomen,contrast-enhanced,2024-01-15,Dr. Anderson,,Hematuria | Urothelial carcinoma | Collecting system evaluation | Hydronephrosis,Supine with arms raised,NPO 4 hours,,Isovue 370,Split bolus: 1st injection 1.1 mL/kg + 2nd injection 0.4 mL/kg,4 mL/s,18-20s + 5-10s,Split bolus technique,,,100-120,Auto (reference 200),0.5s,1.0-1.375,COMPLEX protocol: 1) NC (optional stone protocol) 2) 1st contrast injection 3) Early PV 60s after 1st 4) WAIT 5-7 min 5) 2nd injection + saline 6) Excretory/IVP 90-120s after 2nd,18-20G IV. Split bolus technique. May give Lasix 10-20mg IV for better opacification,NC optional: detect stones. Early PV: renal parenchyma. Excretory: collecting system ureters bladder for urothelial lesions,Split bolus critical for opacification. Lasix may help. Prone imaging optional for ureters,MIP urogram coronal and sagittal. Curved MPR of ureters. 3D urogram,Verify eGFR > 30,Check allergy history
ct-kub-non-contrast,CT KUB Non-Contrast,abdomen,non-contrast,2024-01-15,Dr. Johnson,,Nephrolithiasis | Renal colic | Flank pain | Hematuria,Supine with arms raised,None required,,N/A,,,,,,,100-120,Low dose (50-100 ref),0.5s,1.375-1.5,LOW DOSE protocol. Reduced mAs. Cover kidneys to pubic symphysis. Stone protocol settings,No IV needed. No oral contrast. Explain low radiation technique,Look for stones - measure size and location. Check for hydronephrosis. Assess for alternative diagnoses,Low dose protocol. Reduced mAs. Image quality adequate for stones,Thin slice 1mm for small stones. Stone size measurements,N/A,N/A
ct-renal-mass-protocol,CT Renal Mass Protocol,abdomen,contrast-enhanced,2024-01-15,Dr. Davis,,Renal mass characterization | Renal cell carcinoma staging | Complex cyst evaluation,Supine with arms raised,NPO 4 hours,,Isovue 370,Split bolus: 1st injection 1.1 mL/kg + 2nd injection 0.4 mL/kg,3-4 mL/s,18-22s + 20-30s,Split bolus technique,,,100-120,Auto (reference 200),0.5s,1,COMPLEX protocol: 1) NC 2) 1st contrast injection 3) Arterial 20s after 1st 4) WAIT 5-7 min 5) 2nd injection + saline 6) IVP/nephrographic 90-120s after 2nd,18-20G IV. Explain split bolus technique and delay,NC: fat/calcification. Arterial: vascular anatomy and hypervascular masses. Nephrographic/IVP: delayed enhancement and collecting system,Split bolus timing critical. 5-7 min wait between injections,Compare NC vs arterial vs nephrographic. Measure HU in mass. MIP urogram,Verify eGFR > 30,Check allergy history
ct-triple-phase-liver,CT Triple Phase Liver,abdomen,contrast-enhanced,2024-01-15,Dr. Lee,,Liver lesion characterization | HCC surveillance | Liver mass protocol,Supine with arms raised,NPO 4 hours,None typically. Oral contrast optional,Isovue 370,1.5 mL/kg,4-5 mL/s,25s,Triple phase: NC + Arterial + Portal Venous + Delayed,Abdominal aorta,150 HU,100,Auto (reference 200-250),0.5s,0.9-1.0,FOUR acquisitions: 1) NC abdomen 2) Late arterial (bolus track or 30-35s) 3) Portal venous 70s 4) Delayed 5 min. FOV: Abdomen for NC/Art/Delay. Full AP for PV | Injection duration is fixed at 25 s,20-22G IV. High flow rate critical,NC: characterize lesion. Arterial: hypervascular lesions HCC. Portal: most liver lesions. Delayed: washout pattern,High flow rate. Extended 5 min delay. Breath hold coaching,,Verify eGFR > 30,Check allergy history
